ROADM1,ROADM2,Num Canales Primarios,Num Canales Secundarios,Total Canales,Num Max CH DWDM,%
4,3,1,0,1,96,1.0416666666666665
5,3,10,0,10,96,10.416666666666668
3,4,1,0,1,96,1.0416666666666665
7,5,23,0,23,96,23.958333333333336
7,8,1,0,1,96,1.0416666666666665
8,4,14,0,14,96,14.583333333333334
8,3,12,0,12,96,12.5
8,7,4,0,4,96,4.166666666666666
9,7,30,0,30,96,31.25
9,10,14,0,14,96,14.583333333333334
10,8,37,0,37,96,38.54166666666667
10,9,11,0,11,96,11.458333333333332
13,9,40,0,40,96,41.66666666666667
14,10,36,0,36,96,37.5
14,13,4,0,4,96,4.166666666666666
18,14,35,0,35,96,36.45833333333333
21,13,23,0,23,96,23.958333333333336
13,14,3,0,3,96,3.125
14,18,1,0,1,96,1.0416666666666665
23,25,13,0,13,96,13.541666666666666
25,18,26,0,26,96,27.083333333333332
23,13,17,0,17,96,17.708333333333336
23,26,5,0,5,96,5.208333333333334
26,21,18,0,18,96,18.75
25,23,19,0,19,96,19.791666666666664
26,23,4,0,4,96,4.166666666666666
30,18,4,0,4,96,4.166666666666666
30,25,11,0,11,96,11.458333333333332
