ROADM1,ROADM2,Num Canales Primarios,Num Canales Secundarios,Total Canales,Num Max CH DWDM,%
4,3,1,0,1,96,1.0416666666666665
5,3,9,0,9,96,9.375
3,4,1,0,1,96,1.0416666666666665
7,5,22,0,22,96,22.916666666666664
7,8,3,0,3,96,3.125
8,4,14,0,14,96,14.583333333333334
8,3,13,0,13,96,13.541666666666666
8,7,5,0,5,96,5.208333333333334
9,7,30,0,30,96,31.25
9,10,13,0,13,96,13.541666666666666
10,8,37,0,37,96,38.54166666666667
10,9,10,0,10,96,10.416666666666668
13,9,40,0,40,96,41.66666666666667
13,14,6,0,6,96,6.25
14,10,36,0,36,96,37.5
14,13,4,0,4,96,4.166666666666666
18,14,32,0,32,96,33.33333333333333
21,13,22,0,22,96,22.916666666666664
14,18,1,0,1,96,1.0416666666666665
23,25,11,0,11,96,11.458333333333332
25,18,22,0,22,96,22.916666666666664
23,13,21,0,21,96,21.875
23,26,5,0,5,96,5.208333333333334
26,21,17,0,17,96,17.708333333333336
25,23,20,0,20,96,20.833333333333336
26,23,5,0,5,96,5.208333333333334
30,18,5,0,5,96,5.208333333333334
30,25,10,0,10,96,10.416666666666668
