ROADM1,ROADM2,Num Canales Primarios,Num Canales Secundarios,Total Canales,Num Max CH DWDM,%
4,3,3,0,3,96,3.125
5,3,12,0,12,96,12.5
3,4,5,0,5,96,5.208333333333334
7,5,23,0,23,96,23.958333333333336
7,8,3,0,3,96,3.125
8,4,12,0,12,96,12.5
8,3,14,0,14,96,14.583333333333334
8,7,4,0,4,96,4.166666666666666
9,7,32,0,32,96,33.33333333333333
9,10,10,0,10,96,10.416666666666668
10,8,35,0,35,96,36.45833333333333
10,9,13,0,13,96,13.541666666666666
13,9,36,0,36,96,37.5
13,14,8,0,8,96,8.333333333333332
14,10,40,0,40,96,41.66666666666667
14,13,6,0,6,96,6.25
18,14,35,0,35,96,36.45833333333333
3,5,2,0,2,96,2.083333333333333
18,25,1,0,1,96,1.0416666666666665
25,23,17,0,17,96,17.708333333333336
23,13,17,0,17,96,17.708333333333336
21,13,23,0,23,96,23.958333333333336
21,26,1,0,1,96,1.0416666666666665
26,23,8,0,8,96,8.333333333333332
23,25,12,0,12,96,12.5
25,18,29,0,29,96,30.208333333333332
23,26,8,0,8,96,8.333333333333332
26,21,18,0,18,96,18.75
25,30,1,0,1,96,1.0416666666666665
30,18,3,0,3,96,3.125
30,25,13,0,13,96,13.541666666666666
13,21,1,0,1,96,1.0416666666666665
