Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
1,4,3,1,"[4, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.00021409988403320312,21.6,208.625
2,5,3,1,"[5, 3]",150.0,7.9,1.0,1.0,,,,,,U,OK,0.0001919269561767578,7.6,208.625
3,5,4,1,"[5, 3, 4]",350.0,18.5,1.0,2.2,,,,,,U,OK,0.00024890899658203125,0.0,208.625
4,7,3,1,"[7, 5, 3]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.0002357959747314453,0.0,208.625
5,7,3,1,"[7, 5, 3]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.00028586387634277344,0.0,208.625
6,7,4,1,"[7, 8, 4]",420.0,22.2,1.0,2.5,,,,,,U,OK,0.0002818107604980469,0.0,208.625
7,7,5,1,"[7, 5]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.00020313262939453125,0.0,208.625
8,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.0002028942108154297,0.0,208.625
9,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.0002288818359375,0.0,208.625
10,8,4,1,"[8, 4]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.0004138946533203125,9.5,208.625
11,8,5,1,"[8, 7, 5]",320.0,17.0,1.0,2.0,,,,,,U,OK,0.0002110004425048828,8.4,208.625
12,8,5,1,"[8, 7, 5]",320.0,17.0,1.0,2.0,,,,,,U,OK,0.0003371238708496094,0.0,208.625
13,8,7,1,"[8, 7]",220.0,11.6,1.0,1.3,,,,,,U,OK,0.00018095970153808594,0.0,208.625
14,8,7,1,"[8, 7]",220.0,11.6,1.0,1.3,,,,,,U,OK,0.00045990943908691406,0.0,208.625
15,9,3,1,"[9, 7, 5, 3]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.00019788742065429688,0.0,208.625
16,9,4,1,"[9, 10, 8, 4]",450.0,23.9,1.0,2.8,,,,,,U,OK,0.0004601478576660156,0.0,208.625
17,9,5,1,"[9, 7, 5]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.0002658367156982422,0.0,208.625
18,9,7,1,"[9, 7]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.0003650188446044922,0.0,208.625
19,9,7,1,"[9, 7]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.000186920166015625,0.0,208.625
20,9,8,1,"[9, 10, 8]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.0002799034118652344,10.2,208.625
21,10,3,1,"[10, 8, 3]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.00041294097900390625,7.1,208.625
22,10,3,1,"[10, 8, 3]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.00035691261291503906,16.9,208.625
23,10,4,1,"[10, 8, 4]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.00021195411682128906,0.0,208.625
24,10,5,1,"[10, 9, 7, 5]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.00024318695068359375,0.0,208.625
25,10,7,1,"[10, 9, 7]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.00023102760314941406,0.0,208.625
26,10,8,1,"[10, 8]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.00025177001953125,0.0,208.625
27,10,8,1,"[10, 8]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.00021409988403320312,0.0,208.625
28,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,0.00030112266540527344,0.0,208.625
29,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,0.00024509429931640625,0.0,208.625
30,13,3,1,"[13, 9, 7, 5, 3]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.000576019287109375,10.5,208.625
31,13,3,1,"[13, 9, 7, 5, 3]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.00024199485778808594,12.0,208.625
32,13,4,1,"[13, 9, 10, 8, 4]",550.0,29.3,1.0,3.6,,,,,,U,OK,0.00035500526428222656,14.6,208.625
33,13,5,1,"[13, 9, 7, 5]",300.0,16.2,13.6,2.1,,,,,,U,OK,0.0002281665802001953,0.0,208.625
34,13,7,1,"[13, 9, 7]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.0004398822784423828,0.0,208.625
35,13,8,1,"[13, 9, 10, 8]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.00028967857360839844,0.0,208.625
36,13,8,1,"[13, 9, 10, 8]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.00028896331787109375,0.0,208.625
37,13,9,1,"[13, 9]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.0002460479736328125,0.0,208.625
38,13,9,1,"[13, 9]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.0002040863037109375,0.0,208.625
39,13,10,1,"[13, 9, 10]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.00020694732666015625,0.0,208.625
40,14,3,1,"[14, 10, 8, 3]",400.0,21.4,3.8,2.6,,,,,,U,OK,0.00021004676818847656,10.7,208.625
41,14,4,1,"[14, 10, 8, 4]",400.0,21.4,3.8,2.6,,,,,,U,OK,0.0003619194030761719,0.0,208.625
42,14,5,1,"[14, 10, 9, 7, 5]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.00040793418884277344,0.0,208.625
43,14,5,1,"[14, 10, 9, 7, 5]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.00022101402282714844,0.0,208.625
44,14,7,1,"[14, 10, 9, 7]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.0003070831298828125,0.0,208.625
45,14,8,1,"[14, 10, 8]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.0002238750457763672,0.0,208.625
46,14,9,1,"[14, 10, 9]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.00020003318786621094,0.0,208.625
47,14,10,1,"[14, 10]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.0003147125244140625,0.0,208.625
48,14,10,1,"[14, 10]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.00033283233642578125,0.0,208.625
49,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.00023603439331054688,0.0,208.625
50,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.00017309188842773438,11.7,208.625
51,18,3,1,"[18, 14, 10, 8, 3]",500.0,26.8,3.8,3.3,,,,,,U,OK,0.0003418922424316406,19.5,208.625
52,18,4,1,"[18, 14, 10, 8, 4]",500.0,26.8,3.8,3.3,,,,,,U,OK,0.00035691261291503906,15.2,208.625
53,18,5,1,"[18, 14, 10, 9, 7, 5]",550.0,29.5,1.0,3.8,,,,,,U,OK,0.00023603439331054688,0.0,208.625
54,18,7,1,"[18, 14, 10, 9, 7]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.0005440711975097656,0.0,208.625
55,18,8,1,"[18, 14, 10, 8]",300.0,16.2,13.6,2.1,,,,,,U,OK,0.00032782554626464844,0.0,208.625
56,18,9,1,"[18, 14, 10, 9]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.0005321502685546875,0.0,208.625
57,18,10,1,"[18, 14, 10]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.0002701282501220703,0.0,208.625
58,18,13,1,"[18, 14, 13]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.00022792816162109375,0.0,208.625
59,18,13,1,"[18, 14, 13]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.00020623207092285156,0.0,208.625
60,18,14,1,"[18, 14]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.00032901763916015625,15.5,208.625
