Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
1,4,3,1,"[4, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0173020362854004,18.6,213.78125
2,5,3,1,"[5, 3]",150.0,7.9,1.0,1.0,,,,,,U,OK,1.0205650329589844,6.2,213.78125
3,5,4,1,"[5, 3, 4]",350.0,18.5,1.0,2.2,,,,,,U,OK,1.0577211380004883,1.2,213.78125
4,7,3,1,"[7, 5, 3]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.033937692642212,2.4,213.78125
5,7,3,1,"[7, 5, 3]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.0579180717468262,0.0,213.78125
6,7,4,1,"[7, 8, 4]",420.0,22.2,1.0,2.5,,,,,,U,OK,1.0272319316864014,8.4,213.78125
7,7,5,1,"[7, 5]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0172460079193115,7.4,213.78125
8,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0239369869232178,1.2,213.78125
9,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0238149166107178,6.0,213.78125
10,8,4,1,"[8, 4]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0251259803771973,8.4,213.78125
11,8,5,1,"[8, 7, 5]",320.0,17.0,1.0,2.0,,,,,,U,OK,1.052109956741333,1.2,213.78125
12,8,5,1,"[8, 7, 5]",320.0,17.0,1.0,2.0,,,,,,U,OK,1.052583932876587,3.5,213.78125
13,8,7,1,"[8, 7]",220.0,11.6,1.0,1.3,,,,,,U,OK,1.0220518112182617,8.4,213.78125
14,8,7,1,"[8, 7]",220.0,11.6,1.0,1.3,,,,,,U,OK,1.023169994354248,6.1,213.78125
