Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
1,4,3,1,"[4, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0119640827178955,5.9,220.15625
2,5,3,1,"[5, 3]",150.0,7.9,1.0,1.0,,,,,,U,OK,1.016434907913208,14.8,220.15625
3,5,4,1,"[5, 3, 4]",350.0,18.5,1.0,2.2,,,,,,U,OK,1.0137290954589844,7.1,220.15625
4,7,3,1,"[7, 5, 3]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.0174269676208496,2.4,220.15625
5,7,3,1,"[7, 5, 3]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.018918752670288,2.3,220.15625
6,7,4,1,"[7, 8, 4]",420.0,22.2,1.0,2.5,,,,,,U,OK,1.0160918235778809,4.9,220.15625
7,7,5,1,"[7, 5]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0113368034362793,2.5,220.15625
8,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.017258882522583,5.0,220.15625
9,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0189218521118164,8.2,220.15625
10,8,4,1,"[8, 4]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0166447162628174,6.0,220.15625
11,8,5,1,"[8, 7, 5]",320.0,17.0,1.0,2.0,,,,,,U,OK,1.0157239437103271,19.0,220.15625
12,8,5,1,"[8, 7, 5]",320.0,17.0,1.0,2.0,,,,,,U,OK,1.007978916168213,9.6,220.15625
13,8,7,1,"[8, 7]",220.0,11.6,1.0,1.3,,,,,,U,OK,1.0164029598236084,6.0,220.15625
14,8,7,1,"[8, 7]",220.0,11.6,1.0,1.3,,,,,,U,OK,1.016148328781128,3.4,220.15625
15,9,3,1,"[9, 7, 5, 3]",350.0,18.7,1.0,2.4,,,,,,U,OK,1.017890214920044,4.7,220.15625
16,9,4,1,"[9, 10, 8, 4]",450.0,23.9,1.0,2.8,,,,,,U,OK,1.0176093578338623,2.5,220.15625
17,9,5,1,"[9, 7, 5]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.018050193786621,1.2,220.15625
18,9,7,1,"[9, 7]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.013282060623169,0.0,220.15625
19,9,7,1,"[9, 7]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0164129734039307,8.3,220.15625
20,9,8,1,"[9, 10, 8]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.0149121284484863,4.8,220.15625
21,10,3,1,"[10, 8, 3]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.016287088394165,1.2,220.15625
22,10,3,1,"[10, 8, 3]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0227301120758057,4.6,220.15625
23,10,4,1,"[10, 8, 4]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0222070217132568,1.2,220.15625
24,10,5,1,"[10, 9, 7, 5]",350.0,18.7,1.0,2.4,,,,,,U,OK,1.0167689323425293,1.2,220.15625
25,10,7,1,"[10, 9, 7]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.0155539512634277,4.7,220.15625
26,10,8,1,"[10, 8]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0149638652801514,7.1,220.15625
