Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
1,4,3,1,"[4, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.00027298927307128906,17.6,203.875
2,5,3,1,"[5, 3]",150.0,7.9,1.0,1.0,,,,,,U,OK,0.00030303001403808594,0.0,203.875
3,5,4,1,"[5, 3, 4]",350.0,18.5,1.0,2.2,,,,,,U,OK,0.000308990478515625,10.7,203.875
4,7,3,1,"[7, 5, 3]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.0006892681121826172,0.0,203.875
5,7,3,1,"[7, 5, 3]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.0003819465637207031,0.0,203.875
6,7,4,1,"[7, 8, 4]",420.0,22.2,1.0,2.5,,,,,,U,OK,0.0005681514739990234,0.0,203.875
7,7,5,1,"[7, 5]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.0002639293670654297,0.0,203.875
8,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.0006301403045654297,0.0,203.875
9,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.00038695335388183594,0.0,203.875
10,8,4,1,"[8, 4]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.0007011890411376953,10.5,203.875
11,8,5,1,"[8, 7, 5]",320.0,17.0,1.0,2.0,,,,,,U,OK,0.0002911090850830078,13.8,203.875
12,8,5,1,"[8, 7, 5]",320.0,17.0,1.0,2.0,,,,,,U,OK,0.0003819465637207031,3.6,203.875
13,8,7,1,"[8, 7]",220.0,11.6,1.0,1.3,,,,,,U,OK,0.00038814544677734375,0.0,203.875
14,8,7,1,"[8, 7]",220.0,11.6,1.0,1.3,,,,,,U,OK,0.0006811618804931641,0.0,203.875
15,9,3,1,"[9, 7, 5, 3]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.0003020763397216797,0.0,203.875
16,9,4,1,"[9, 10, 8, 4]",450.0,23.9,1.0,2.8,,,,,,U,OK,0.0007333755493164062,0.0,203.875
17,9,5,1,"[9, 7, 5]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.00037789344787597656,0.0,203.875
18,9,7,1,"[9, 7]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.0007710456848144531,0.0,203.875
19,9,7,1,"[9, 7]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.0002827644348144531,0.0,203.875
20,9,8,1,"[9, 10, 8]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.0005671977996826172,11.0,203.875
21,10,3,1,"[10, 8, 3]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.00031685829162597656,0.0,203.875
22,10,3,1,"[10, 8, 3]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.0004410743713378906,0.0,203.875
23,10,4,1,"[10, 8, 4]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.0002999305725097656,0.0,203.875
24,10,5,1,"[10, 9, 7, 5]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.0005140304565429688,0.0,203.875
25,10,7,1,"[10, 9, 7]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.0003559589385986328,0.0,203.875
26,10,8,1,"[10, 8]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.0006778240203857422,0.0,203.875
27,10,8,1,"[10, 8]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.0007147789001464844,0.0,203.875
28,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,0.0005402565002441406,0.0,203.875
29,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,0.0006041526794433594,0.0,203.875
30,13,3,1,"[13, 9, 7, 5, 3]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.0005209445953369141,10.5,203.875
31,13,3,1,"[13, 9, 7, 5, 3]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.00031113624572753906,12.7,203.875
32,13,4,1,"[13, 9, 10, 8, 4]",550.0,29.3,1.0,3.6,,,,,,U,OK,0.00038886070251464844,0.0,203.875
33,13,5,1,"[13, 9, 7, 5]",300.0,16.2,13.6,2.1,,,,,,U,OK,0.0003058910369873047,0.0,203.875
34,13,7,1,"[13, 9, 7]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.0006909370422363281,0.0,203.875
35,13,8,1,"[13, 9, 10, 8]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.0004050731658935547,0.0,203.875
36,13,8,1,"[13, 9, 10, 8]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.0006902217864990234,0.0,203.875
37,13,9,1,"[13, 9]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.00040078163146972656,0.0,203.875
38,13,9,1,"[13, 9]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.0003368854522705078,0.0,203.875
39,13,10,1,"[13, 9, 10]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.00028395652770996094,0.0,203.875
