Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
1,4,3,1,"[4, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.10531020164489746,21.8,196.53125
2,5,3,1,"[5, 3]",150.0,7.9,1.0,1.0,,,,,,U,OK,0.10551285743713379,0.0,196.53125
3,5,4,1,"[5, 3, 4]",350.0,18.5,1.0,2.2,,,,,,U,OK,0.10161304473876953,0.0,196.53125
4,7,3,1,"[7, 5, 3]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.10213780403137207,0.0,196.53125
5,7,3,1,"[7, 5, 3]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.1055750846862793,10.3,196.53125
6,7,4,1,"[7, 8, 4]",420.0,22.2,1.0,2.5,,,,,,U,OK,0.10539007186889648,0.0,196.53125
7,7,5,1,"[7, 5]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.10541915893554688,0.0,196.53125
8,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.10089421272277832,0.0,196.53125
9,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.10169386863708496,0.0,196.53125
10,8,4,1,"[8, 4]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.10554695129394531,11.1,196.53125
11,8,5,1,"[8, 7, 5]",320.0,17.0,1.0,2.0,,,,,,U,OK,0.10226106643676758,15.5,196.53125
12,8,5,1,"[8, 7, 5]",320.0,17.0,1.0,2.0,,,,,,U,OK,0.1023402214050293,0.0,196.53125
13,8,7,1,"[8, 7]",220.0,11.6,1.0,1.3,,,,,,U,OK,0.10092282295227051,0.0,196.53125
14,8,7,1,"[8, 7]",220.0,11.6,1.0,1.3,,,,,,U,OK,0.10310602188110352,0.0,196.53125
15,9,3,1,"[9, 7, 5, 3]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.10552811622619629,9.1,196.53125
16,9,4,1,"[9, 10, 8, 4]",450.0,23.9,1.0,2.8,,,,,,U,OK,0.10365104675292969,0.0,196.53125
17,9,5,1,"[9, 7, 5]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.1054539680480957,0.0,196.53125
18,9,7,1,"[9, 7]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.1035308837890625,0.0,196.53125
19,9,7,1,"[9, 7]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.10358786582946777,0.0,196.53125
20,9,8,1,"[9, 10, 8]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.10522317886352539,13.5,196.53125
21,10,3,1,"[10, 8, 3]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.1028437614440918,12.0,196.53125
22,10,3,1,"[10, 8, 3]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.10552215576171875,13.8,196.53125
23,10,4,1,"[10, 8, 4]",300.0,16.0,3.8,1.9,,,,,,U,OK,0.10558009147644043,0.0,196.53125
24,10,5,1,"[10, 9, 7, 5]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.10080218315124512,0.0,196.53125
25,10,7,1,"[10, 9, 7]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.10559797286987305,12.2,196.53125
26,10,8,1,"[10, 8]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.10096311569213867,9.8,196.53125
27,10,8,1,"[10, 8]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.10558891296386719,0.0,196.53125
28,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,0.10553717613220215,0.0,196.53125
29,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,0.10214495658874512,0.0,196.53125
30,13,3,1,"[13, 9, 7, 5, 3]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.10254096984863281,11.7,196.53125
31,13,3,1,"[13, 9, 7, 5, 3]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.10372495651245117,0.0,196.53125
32,13,4,1,"[13, 9, 10, 8, 4]",550.0,29.3,1.0,3.6,,,,,,U,OK,0.1054379940032959,0.0,196.53125
33,13,5,1,"[13, 9, 7, 5]",300.0,16.2,13.6,2.1,,,,,,U,OK,0.10434412956237793,0.0,196.53125
34,13,7,1,"[13, 9, 7]",200.0,10.8,13.6,1.4,,,,,,U,OK,0.10215973854064941,0.0,196.53125
35,13,8,1,"[13, 9, 10, 8]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.10451006889343262,11.4,196.53125
36,13,8,1,"[13, 9, 10, 8]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.10184788703918457,10.1,196.53125
37,13,9,1,"[13, 9]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.10387110710144043,0.0,196.53125
38,13,9,1,"[13, 9]",100.0,5.4,13.6,0.7,,,,,,U,OK,0.10576391220092773,0.0,196.53125
39,13,10,1,"[13, 9, 10]",250.0,13.3,1.0,1.6,,,,,,U,OK,0.10159492492675781,0.0,196.53125
40,14,3,1,"[14, 10, 8, 3]",400.0,21.4,3.8,2.6,,,,,,U,OK,0.10196971893310547,11.6,196.53125
41,14,4,1,"[14, 10, 8, 4]",400.0,21.4,3.8,2.6,,,,,,U,OK,0.10096001625061035,0.0,196.53125
42,14,5,1,"[14, 10, 9, 7, 5]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.10550093650817871,0.0,196.53125
43,14,5,1,"[14, 10, 9, 7, 5]",450.0,24.1,1.0,3.0,,,,,,U,OK,0.10360193252563477,0.0,196.53125
44,14,7,1,"[14, 10, 9, 7]",350.0,18.7,1.0,2.4,,,,,,U,OK,0.10564613342285156,0.0,196.53125
