Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
1,4,3,1,"[4, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0412201881408691,5.8,208.859375
2,5,3,1,"[5, 3]",150.0,7.9,1.0,1.0,,,,,,U,OK,1.040428876876831,10.0,208.859375
3,5,4,1,"[5, 3, 4]",350.0,18.5,1.0,2.2,,,,,,U,OK,1.0457732677459717,9.8,208.859375
4,7,3,1,"[7, 5, 3]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.0468039512634277,3.7,208.859375
5,7,3,1,"[7, 5, 3]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.0507028102874756,2.5,208.859375
6,7,4,1,"[7, 8, 4]",420.0,22.2,1.0,2.5,,,,,,U,OK,1.045982837677002,3.6,208.859375
7,7,5,1,"[7, 5]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0488219261169434,9.8,208.875
8,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0503950119018555,11.2,208.875
9,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.048609733581543,10.7,208.875
10,8,4,1,"[8, 4]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0490081310272217,8.4,208.875
11,8,5,1,"[8, 7, 5]",320.0,17.0,1.0,2.0,,,,,,U,OK,1.0409128665924072,17.3,208.90625
12,8,5,1,"[8, 7, 5]",320.0,17.0,1.0,2.0,,,,,,U,OK,1.0432140827178955,16.2,208.90625
13,8,7,1,"[8, 7]",220.0,11.6,1.0,1.3,,,,,,U,OK,1.042022943496704,2.4,208.90625
14,8,7,1,"[8, 7]",220.0,11.6,1.0,1.3,,,,,,U,OK,1.0438337326049805,16.7,208.90625
15,9,3,1,"[9, 7, 5, 3]",350.0,18.7,1.0,2.4,,,,,,U,OK,1.0484459400177002,6.0,208.90625
16,9,4,1,"[9, 7, 8, 4]",520.0,27.6,1.0,3.2,,,,,,U,OK,1.04472017288208,4.8,208.90625
17,9,5,1,"[9, 7, 5]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.052577018737793,4.8,208.90625
18,9,7,1,"[9, 7]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0493760108947754,3.7,208.90625
19,9,7,1,"[9, 7]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0484168529510498,3.6,208.90625
20,9,8,1,"[9, 10, 8]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.0418789386749268,3.7,208.90625
21,10,3,1,"[10, 8, 3]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0525362491607666,3.5,208.90625
22,10,3,1,"[10, 8, 3]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0550551414489746,4.7,208.90625
23,10,4,1,"[10, 8, 4]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0537238121032715,2.4,208.90625
