Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
1,4,3,1,"[4, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0071749687194824,4.8,223.890625
2,5,3,1,"[5, 3]",150.0,7.9,1.0,1.0,,,,,,U,OK,1.011101245880127,0.0,223.890625
3,5,4,1,"[5, 3, 4]",350.0,18.5,1.0,2.2,,,,,,U,OK,1.0103511810302734,3.6,223.890625
4,7,3,1,"[7, 5, 3]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.0031652450561523,5.7,223.890625
5,7,3,1,"[7, 5, 3]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.002945899963379,9.6,223.890625
6,7,4,1,"[7, 8, 4]",420.0,22.2,1.0,2.5,,,,,,U,OK,1.0038647651672363,8.3,223.890625
7,7,5,1,"[7, 5]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.008612871170044,2.4,223.890625
8,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0080468654632568,7.1,223.890625
9,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.00931978225708,11.5,223.890625
10,8,4,1,"[8, 4]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.009779930114746,3.6,223.890625
11,8,5,1,"[8, 7, 5]",320.0,17.0,1.0,2.0,,,,,,U,OK,1.0084278583526611,2.4,223.890625
12,8,5,1,"[8, 7, 5]",320.0,17.0,1.0,2.0,,,,,,U,OK,1.0055639743804932,5.9,223.890625
13,8,7,1,"[8, 7]",220.0,11.6,1.0,1.3,,,,,,U,OK,1.0095558166503906,4.7,223.890625
14,8,7,1,"[8, 7]",220.0,11.6,1.0,1.3,,,,,,U,OK,1.0101778507232666,0.0,223.890625
15,9,3,1,"[9, 7, 5, 3]",350.0,18.7,1.0,2.4,,,,,,U,OK,1.010133981704712,2.4,223.890625
16,9,4,1,"[9, 10, 8, 4]",450.0,23.9,1.0,2.8,,,,,,U,OK,1.0122761726379395,1.2,223.890625
17,9,5,1,"[9, 7, 5]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.0089831352233887,4.8,223.890625
18,9,7,1,"[9, 7]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.007930040359497,5.9,223.890625
19,9,7,1,"[9, 7]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.009390115737915,1.2,223.890625
20,9,8,1,"[9, 10, 8]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.0105328559875488,3.5,223.890625
21,10,3,1,"[10, 8, 3]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0061111450195312,0.0,223.890625
22,10,3,1,"[10, 8, 3]",300.0,16.0,3.8,1.9,,,,,,U,OK,1.0097532272338867,3.4,223.890625
23,10,4,1,"[10, 8, 3, 4]",500.0,26.6,3.8,3.1,,,,,,U,OK,1.0079729557037354,2.4,223.890625
24,10,5,1,"[10, 9, 7, 5]",350.0,18.7,1.0,2.4,,,,,,U,OK,1.0099458694458008,2.6,223.890625
25,10,7,1,"[10, 9, 7]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.0107951164245605,5.9,223.890625
26,10,8,1,"[10, 8]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0090429782867432,7.1,223.890625
27,10,8,1,"[10, 8]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0082659721374512,22.4,223.890625
28,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,1.005932092666626,1.2,223.890625
29,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,1.0067830085754395,0.0,223.890625
30,13,3,1,"[13, 9, 7, 5, 3]",450.0,24.1,1.0,3.0,,,,,,U,OK,1.0090370178222656,4.8,223.890625
31,13,3,1,"[13, 9, 10, 8, 3]",550.0,29.3,1.0,3.6,,,,,,U,OK,1.009943962097168,9.3,223.890625
32,13,4,1,"[13, 14, 10, 8, 3, 4]",800.0,42.6,3.8,5.0,,,,,,U,OK,1.0088660717010498,1.2,223.890625
33,13,5,1,"[13, 9, 7, 5]",300.0,16.2,13.6,2.1,,,,,,U,OK,1.0101099014282227,4.7,223.890625
34,13,7,1,"[13, 9, 7]",200.0,10.8,13.6,1.4,,,,,,U,OK,1.010300874710083,2.4,223.890625
35,13,8,1,"[13, 14, 10, 8]",400.0,21.4,3.8,2.6,,,,,,U,OK,1.0092990398406982,3.6,223.890625
36,13,8,1,"[13, 9, 10, 8]",350.0,18.7,1.0,2.4,,,,,,U,OK,1.0065162181854248,7.1,223.890625
37,13,9,1,"[13, 9]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0084278583526611,1.2,223.890625
38,13,9,1,"[13, 9]",100.0,5.4,13.6,0.7,,,,,,U,OK,1.0095160007476807,1.3,223.890625
39,13,10,1,"[13, 9, 10]",250.0,13.3,1.0,1.6,,,,,,U,OK,1.0079929828643799,1.2,223.890625
40,14,3,1,"[14, 10, 9, 7, 5, 3]",600.0,32.0,1.0,4.0,,,,,,U,OK,1.0106008052825928,1.2,223.890625
41,14,4,1,"[14, 10, 8, 3, 4]",600.0,32.0,3.8,3.8,,,,,,U,OK,1.0076589584350586,2.4,223.890625
42,14,5,1,"[14, 13, 9, 7, 5]",500.0,26.8,3.8,3.3,,,,,,U,OK,1.009030818939209,2.4,223.890625
43,14,5,1,"[14, 13, 9, 7, 5]",500.0,26.8,3.8,3.3,,,,,,U,OK,1.0094380378723145,2.4,223.890625
