ROADM1,ROADM2,Num Canales Primarios,Num Canales Secundarios,Total Canales,Num Max CH DWDM,%
8,3,2,1,3,96,3.125
8,4,1,1,2,96,2.083333333333333
4,3,0,1,1,96,1.0416666666666665
3,4,0,1,1,96,1.0416666666666665
10,9,1,1,2,96,2.083333333333333
10,14,0,1,1,96,1.0416666666666665
14,13,1,2,3,96,3.125
13,9,0,5,5,96,5.208333333333334
14,10,4,1,5,96,5.208333333333334
10,8,3,0,3,96,3.125
9,7,0,3,3,96,3.125
7,5,0,1,1,96,1.0416666666666665
5,3,0,1,1,96,1.0416666666666665
9,13,0,1,1,96,1.0416666666666665
23,25,3,0,3,96,3.125
25,18,3,0,3,96,3.125
18,14,3,0,3,96,3.125
23,13,0,3,3,96,3.125
7,8,0,2,2,96,2.083333333333333
9,10,0,1,1,96,1.0416666666666665
26,23,1,0,1,96,1.0416666666666665
26,21,0,1,1,96,1.0416666666666665
21,13,0,1,1,96,1.0416666666666665
13,23,0,1,1,96,1.0416666666666665
