ROADM1,ROADM2,Num Canales Primarios,Num Canales Secundarios,Total Canales,Num Max CH DWDM,%
8,3,2,1,3,96,3.125
8,4,1,1,2,96,2.083333333333333
4,3,0,1,1,96,1.0416666666666665
3,4,0,1,1,96,1.0416666666666665
10,9,1,1,2,96,2.083333333333333
10,8,3,1,4,96,4.166666666666666
8,7,0,1,1,96,1.0416666666666665
7,9,0,1,1,96,1.0416666666666665
14,10,2,1,3,96,3.125
14,13,1,1,2,96,2.083333333333333
13,9,2,2,4,96,4.166666666666666
9,7,0,1,1,96,1.0416666666666665
7,5,0,1,1,96,1.0416666666666665
5,3,0,1,1,96,1.0416666666666665
9,13,0,1,1,96,1.0416666666666665
23,13,1,1,2,96,2.083333333333333
9,10,2,1,3,96,3.125
23,26,1,0,1,96,1.0416666666666665
26,21,1,1,2,96,2.083333333333333
21,13,1,1,2,96,2.083333333333333
23,25,1,0,1,96,1.0416666666666665
25,18,1,0,1,96,1.0416666666666665
18,14,1,0,1,96,1.0416666666666665
26,23,1,0,1,96,1.0416666666666665
13,23,0,1,1,96,1.0416666666666665
