ROADM1,ROADM2,Num Canales Primarios,Num Canales Secundarios,Total Canales,Num Max CH DWDM,%
8,3,2,0,2,96,2.083333333333333
8,6,1,0,1,96,1.0416666666666665
6,7,1,0,1,96,1.0416666666666665
9,7,2,0,2,96,2.083333333333333
7,5,1,0,1,96,1.0416666666666665
5,2,1,0,1,96,1.0416666666666665
2,1,1,0,1,96,1.0416666666666665
1,3,1,0,1,96,1.0416666666666665
10,9,1,0,1,96,1.0416666666666665
12,13,2,0,2,96,2.083333333333333
13,11,2,0,2,96,2.083333333333333
11,9,2,0,2,96,2.083333333333333
9,10,1,0,1,96,1.0416666666666665
14,12,1,0,1,96,1.0416666666666665
19,13,2,0,2,96,2.083333333333333
13,12,1,0,1,96,1.0416666666666665
21,24,1,0,1,96,1.0416666666666665
24,26,1,0,1,96,1.0416666666666665
26,23,1,0,1,96,1.0416666666666665
23,25,4,0,4,96,4.166666666666666
25,22,9,0,9,96,9.375
22,18,10,0,10,96,10.416666666666668
18,16,2,0,2,96,2.083333333333333
18,15,5,0,5,96,5.208333333333334
15,14,5,0,5,96,5.208333333333334
14,10,4,0,4,96,4.166666666666666
10,8,4,0,4,96,4.166666666666666
22,25,1,0,1,96,1.0416666666666665
25,23,1,0,1,96,1.0416666666666665
23,19,1,0,1,96,1.0416666666666665
8,4,2,0,2,96,2.083333333333333
24,21,1,0,1,96,1.0416666666666665
21,17,1,0,1,96,1.0416666666666665
17,13,1,0,1,96,1.0416666666666665
16,20,1,0,1,96,1.0416666666666665
30,29,2,0,2,96,2.083333333333333
29,28,1,0,1,96,1.0416666666666665
28,27,1,0,1,96,1.0416666666666665
27,25,1,0,1,96,1.0416666666666665
