Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,retardo e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,retardo e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
1,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.00022792816162109375,6.0,8362.640625
2,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.00037288665771484375,4.7,8371.984375
3,8,7,1,"[8, 6, 7]",220.0,11.6,1.0,1.5,,,,,,U,OK,0.00037598609924316406,0.0,8371.984375
4,9,3,1,"[9, 7, 5, 2, 1, 3]",350.0,18.9,13.6,2.8,,,,,,U,OK,0.0004563331604003906,0.0,8371.984375
5,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,0.0004012584686279297,10.1,8358.484375
6,12,7,1,"[12, 13, 11, 9, 7]",250.0,13.5,13.6,2.1,,,,,,U,OK,0.0003299713134765625,3.7,8357.6875
7,13,10,1,"[13, 11, 9, 10]",250.0,13.3,1.0,1.8,,,,,,U,OK,0.0003998279571533203,3.9,8357.6875
8,14,13,1,"[14, 12, 13]",200.0,10.6,1.0,1.4,,,,,,U,OK,0.0004363059997558594,0.0,8357.6875
9,19,12,1,"[19, 13, 12]",250.0,13.3,3.8,1.6,,,,,,U,OK,0.0002968311309814453,0.0,8357.6875
10,21,16,1,"[21, 17, 13, 12, 14, 15, 18, 16]",450.0,24.1,1.0,3.6,,,,,,U,OK,0.000446319580078125,13.0,8359.40625
11,22,8,1,"[22, 18, 15, 14, 10, 8]",350.0,18.9,13.6,2.8,,,,,,U,OK,0.0002760887145996094,17.2,8355.171875
12,22,13,1,"[22, 18, 15, 14, 12, 13]",350.0,18.7,1.0,2.8,,,,,,U,OK,0.0006449222564697266,11.1,8355.21875
13,23,4,1,"[23, 25, 22, 18, 15, 14, 10, 8, 4]",650.0,34.9,3.8,4.9,,,,,,U,OK,0.0004222393035888672,0.0,8355.21875
14,23,8,1,"[23, 25, 22, 18, 15, 14, 10, 8]",450.0,24.3,13.6,3.6,,,,,,U,OK,0.0006079673767089844,0.0,8355.21875
15,23,18,1,"[23, 25, 22, 18]",150.0,8.1,13.8,1.4,,,,,,U,OK,0.0002880096435546875,12.2,8331.109375
16,24,13,1,"[24, 21, 17, 13]",150.0,8.1,13.8,1.4,,,,,,U,OK,0.0004858970642089844,-100.0,8328.296875
17,25,14,1,"[25, 22, 18, 15, 14]",200.0,10.8,13.8,1.8,,,,,,U,OK,0.0002601146697998047,0.0,8324.5
18,25,18,1,"[25, 22, 18]",100.0,5.4,13.8,0.9,,,,,,U,OK,0.0002560615539550781,0.0,8322.421875
19,25,18,1,"[25, 22, 18]",100.0,5.4,13.8,0.9,,,,,,U,OK,0.0004200935363769531,0.0,8321.796875
20,25,20,1,"[25, 22, 18, 16, 20]",200.0,10.8,13.8,1.8,,,,,,U,OK,0.00044608116149902344,11.7,8322.78125
21,30,4,1,"[30, 20, 16, 18, 15, 14, 10, 8, 4]",800.0,42.8,3.8,5.6,,,,,,U,OK,0.0004780292510986328,16.3,8319.203125
22,30,29,1,"[30, 29]",50.0,2.7,13.8,0.4,,,,,,U,OK,0.00023603439331054688,0.0,8319.203125
