Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,retardo e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,retardo e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
1,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0162162780761719,3.7,8310.71875
2,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.021569013595581,14.0,8302.390625
3,8,7,1,"[8, 6, 7]",220.0,11.6,1.0,1.5,,,,,,U,OK,1.0279839038848877,2.4,8256.5
4,9,3,1,"[9, 7, 5, 2, 1, 3]",350.0,18.9,13.6,2.8,,,,,,U,OK,1.0390641689300537,9.6,8276.546875
5,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,1.0212669372558594,7.0,8242.890625
6,12,7,1,"[12, 13, 11, 9, 7]",250.0,13.5,13.6,2.1,,,,,,U,OK,1.0797209739685059,-100.0,8266.21875
7,13,10,1,"[13, 11, 9, 10]",250.0,13.3,1.0,1.8,,,,,,U,OK,1.0329680442810059,1.2,8246.65625
8,14,13,1,"[14, 12, 13]",200.0,10.6,1.0,1.4,,,,,,U,OK,1.0658490657806396,0.0,8183.84375
9,19,12,1,"[19, 13, 12]",250.0,13.3,3.8,1.6,,,,,,U,OK,1.0582420825958252,4.8,8185.046875
10,21,16,1,"[21, 24, 26, 23, 25, 22, 18, 16]",450.0,24.1,1.0,3.6,,,,,,U,OK,1.0485901832580566,17.6,8252.140625
11,22,8,1,"[22, 18, 15, 14, 10, 8]",350.0,18.9,13.6,2.8,,,,,,U,OK,1.0315039157867432,3.7,8152.125
12,22,13,1,"[22, 25, 23, 19, 13]",350.0,18.7,3.8,2.6,,,,,,U,OK,1.0510058403015137,0.0,8148.890625
13,23,4,1,"[23, 25, 22, 18, 15, 14, 10, 8, 4]",650.0,34.9,3.8,4.9,,,,,,U,OK,1.0558640956878662,2.5,8150.453125
14,23,8,1,"[23, 25, 22, 18, 15, 14, 10, 8]",450.0,24.3,13.6,3.6,,,,,,U,OK,1.0690124034881592,3.7,8149.171875
15,23,18,1,"[23, 25, 22, 18]",150.0,8.1,13.8,1.4,,,,,,U,OK,1.053196907043457,15.5,8174.671875
16,24,13,1,"[24, 21, 17, 13]",150.0,8.1,13.8,1.4,,,,,,U,OK,1.015631914138794,0.0,8189.78125
17,25,14,1,"[25, 22, 18, 15, 14]",200.0,10.8,13.8,1.8,,,,,,U,OK,1.0412979125976562,14.5,8136.34375
18,25,18,1,"[25, 22, 18]",100.0,5.4,13.8,0.9,,,,,,U,OK,1.0359580516815186,-15.399999999999999,8130.578125
19,25,18,1,"[25, 22, 18]",100.0,5.4,13.8,0.9,,,,,,U,OK,1.0385239124298096,5.7,8206.796875
20,25,20,1,"[25, 22, 18, 16, 20]",200.0,10.8,13.8,1.8,,,,,,U,OK,1.0399680137634277,0.0,8205.28125
21,30,4,1,"[30, 29, 28, 27, 25, 22, 18, 15, 14, 10, 8, 4]",800.0,43.0,3.8,6.2,,,,,,U,OK,1.0628581047058105,5.9,8148.421875
22,30,29,1,"[30, 29]",50.0,2.7,13.8,0.4,,,,,,U,OK,1.0245730876922607,3.6,8133.8125
