Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,retardo e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,retardo e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
1,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.0004608631134033203,0.0,8289.859375
2,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.0005319118499755859,0.0,8374.75
3,8,7,1,"[8, 6, 7]",220.0,11.6,1.0,1.5,,,,,,U,OK,0.0004608631134033203,0.0,8373.671875
4,9,3,1,"[9, 7, 5, 2, 1, 3]",350.0,18.9,13.6,2.8,,,,,,U,OK,0.0006000995635986328,0.0,8372.078125
5,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,0.0006961822509765625,11.8,8371.234375
6,12,7,1,"[12, 13, 11, 9, 7]",250.0,13.5,13.6,2.1,,,,,,U,OK,0.000553131103515625,0.0,8370.75
7,13,10,1,"[13, 11, 9, 10]",250.0,13.3,1.0,1.8,,,,,,U,OK,0.0006830692291259766,0.0,8373.34375
8,14,13,1,"[14, 12, 13]",200.0,10.6,1.0,1.4,,,,,,U,OK,0.0004980564117431641,0.0,8360.140625
9,19,12,1,"[19, 13, 12]",250.0,13.3,3.8,1.6,,,,,,U,OK,0.00035309791564941406,0.0,8362.359375
10,21,16,1,"[21, 24, 26, 23, 25, 22, 18, 16]",450.0,24.1,1.0,3.6,,,,,,U,OK,0.0006620883941650391,12.6,8372.40625
11,22,8,1,"[22, 18, 15, 14, 10, 8]",350.0,18.9,13.6,2.8,,,,,,U,OK,0.0007288455963134766,0.0,8372.046875
12,22,13,1,"[22, 18, 15, 14, 12, 13]",350.0,18.7,1.0,2.8,,,,,,U,OK,0.0005581378936767578,0.0,8372.046875
13,23,4,1,"[23, 25, 22, 18, 15, 14, 10, 8, 4]",650.0,34.9,3.8,4.9,,,,,,U,OK,0.0007240772247314453,0.0,8372.046875
14,23,8,1,"[23, 25, 22, 18, 15, 14, 10, 8]",450.0,24.3,13.6,3.6,,,,,,U,OK,0.0007100105285644531,0.0,8372.046875
15,23,18,1,"[23, 25, 22, 18]",150.0,8.1,13.8,1.4,,,,,,U,OK,0.00038504600524902344,13.9,8364.421875
16,24,13,1,"[24, 21, 17, 13]",150.0,8.1,13.8,1.4,,,,,,U,OK,0.0006339550018310547,0.0,8363.265625
17,25,14,1,"[25, 22, 18, 15, 14]",200.0,10.8,13.8,1.8,,,,,,U,OK,0.0004410743713378906,0.0,8362.96875
18,25,18,1,"[25, 22, 18]",100.0,5.4,13.8,0.9,,,,,,U,OK,0.0007081031799316406,0.0,8362.96875
19,25,18,1,"[25, 22, 18]",100.0,5.4,13.8,0.9,,,,,,U,OK,0.0006351470947265625,0.0,8362.96875
20,25,20,1,"[25, 22, 18, 16, 20]",200.0,10.8,13.8,1.8,,,,,,U,OK,0.0005838871002197266,10.9,8354.9375
21,30,4,1,"[30, 20, 16, 18, 15, 14, 10, 8, 4]",800.0,42.8,3.8,5.6,,,,,,U,OK,0.0008280277252197266,16.7,8355.28125
22,30,29,1,"[30, 29]",50.0,2.7,13.8,0.4,,,,,,U,OK,0.0005559921264648438,0.0,8353.4375
