Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,retardo e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,retardo e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
1,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.10322284698486328,11.3,8335.859375
2,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,0.10549306869506836,0.0,8368.390625
3,8,7,1,"[8, 6, 7]",220.0,11.6,1.0,1.5,,,,,,U,OK,0.10566496849060059,0.0,8368.390625
4,9,3,1,"[9, 7, 5, 2, 1, 3]",350.0,18.9,13.6,2.8,,,,,,U,OK,0.10515689849853516,16.9,8352.359375
5,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,0.10570788383483887,0.0,8334.703125
6,12,7,1,"[12, 13, 11, 9, 7]",250.0,13.5,13.6,2.1,,,,,,U,OK,0.10568499565124512,0.0,8325.796875
7,13,10,1,"[13, 11, 9, 10]",250.0,13.3,1.0,1.8,,,,,,U,OK,0.10180401802062988,10.8,8348.5
8,14,13,1,"[14, 12, 13]",200.0,10.6,1.0,1.4,,,,,,U,OK,0.10562777519226074,5.9,8346.90625
9,19,12,1,"[19, 13, 12]",250.0,13.3,3.8,1.6,,,,,,U,OK,0.10405182838439941,0.0,8353.3125
10,21,16,1,"[21, 17, 13, 12, 14, 15, 18, 16]",450.0,24.1,1.0,3.6,,,,,,U,OK,0.10563826560974121,14.6,8367.671875
11,22,8,1,"[22, 18, 15, 14, 10, 8]",350.0,18.9,13.6,2.8,,,,,,U,OK,0.10565185546875,14.1,8371.390625
12,22,13,1,"[22, 18, 15, 14, 12, 13]",350.0,18.7,1.0,2.8,,,,,,U,OK,0.10345220565795898,0.0,8355.171875
13,23,4,1,"[23, 25, 22, 18, 15, 14, 10, 8, 4]",650.0,34.9,3.8,4.9,,,,,,U,OK,0.1056220531463623,0.0,8354.578125
14,23,8,1,"[23, 25, 22, 18, 15, 14, 10, 8]",450.0,24.3,13.6,3.6,,,,,,U,OK,0.1021890640258789,16.9,8354.578125
15,23,18,1,"[23, 25, 22, 18]",150.0,8.1,13.8,1.4,,,,,,U,OK,0.10555696487426758,0.0,8347.5
16,24,13,1,"[24, 21, 17, 13]",150.0,8.1,13.8,1.4,,,,,,U,OK,0.10219001770019531,0.0,8347.984375
17,25,14,1,"[25, 22, 18, 15, 14]",200.0,10.8,13.8,1.8,,,,,,U,OK,0.10442328453063965,9.4,8347.984375
18,25,18,1,"[25, 22, 18]",100.0,5.4,13.8,0.9,,,,,,U,OK,0.10356497764587402,31.2,8306.71875
19,25,18,1,"[25, 22, 18]",100.0,5.4,13.8,0.9,,,,,,U,OK,0.10488033294677734,0.0,8306.515625
20,25,20,1,"[25, 22, 18, 16, 20]",200.0,10.8,13.8,1.8,,,,,,U,OK,0.10278201103210449,17.5,8307.390625
21,30,4,1,"[30, 20, 16, 18, 15, 14, 10, 8, 4]",800.0,42.8,3.8,5.6,,,,,,U,OK,0.10594725608825684,-77.8,8307.390625
22,30,29,1,"[30, 29]",50.0,2.7,13.8,0.4,,,,,,U,OK,0.10115885734558105,0.0,8320.25
