Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,retardo e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,retardo e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
1,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0529251098632812,16.5,8291.234375
2,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0569946765899658,11.6,8261.0625
3,8,7,1,"[8, 6, 7]",220.0,11.6,1.0,1.5,,,,,,U,OK,1.0675830841064453,0.0,8223.421875
4,9,3,1,"[9, 7, 5, 2, 1, 3]",350.0,18.9,13.6,2.8,,,,,,U,OK,1.0830519199371338,11.0,8251.96875
5,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,1.0627310276031494,12.5,8253.265625
6,12,7,1,"[12, 13, 11, 9, 7]",250.0,13.5,13.6,2.1,,,,,,U,OK,1.077415943145752,10.8,8238.78125
7,13,10,1,"[13, 11, 9, 10]",250.0,13.3,1.0,1.8,,,,,,U,OK,1.0696990489959717,0.0,8248.71875
8,14,13,1,"[14, 12, 13]",200.0,10.6,1.0,1.4,,,,,,U,OK,1.0655150413513184,10.7,8239.203125
9,19,12,1,"[19, 13, 12]",250.0,13.3,3.8,1.6,,,,,,U,OK,1.0749988555908203,7.1,8230.578125
10,21,16,1,"[21, 17, 13, 12, 14, 15, 18, 16]",450.0,24.1,1.0,3.6,,,,,,U,OK,1.0870749950408936,11.9,8213.125
11,22,8,1,"[22, 18, 15, 14, 10, 8]",350.0,18.9,13.6,2.8,,,,,,U,OK,1.0853710174560547,8.3,8209.234375
12,22,13,1,"[22, 25, 23, 19, 13]",350.0,18.7,3.8,2.6,,,,,,U,OK,1.0811169147491455,12.0,8225.421875
13,23,4,1,"[23, 19, 13, 11, 9, 10, 8, 4]",800.0,42.6,1.0,5.4,,,,,,U,OK,1.0876572132110596,14.6,8231.96875
14,23,8,1,"[23, 25, 22, 18, 15, 14, 10, 8]",450.0,24.3,13.6,3.6,,,,,,U,OK,1.088076114654541,3.8,8227.1875
15,23,18,1,"[23, 25, 22, 18]",150.0,8.1,13.8,1.4,,,,,,U,OK,1.0723061561584473,0.0,8166.78125
16,24,13,1,"[24, 21, 17, 13]",150.0,8.1,13.8,1.4,,,,,,U,OK,1.0777859687805176,8.0,8178.390625
17,25,14,1,"[25, 22, 18, 15, 14]",200.0,10.8,13.8,1.8,,,,,,U,OK,1.0823700428009033,-93.0,8213.15625
18,25,18,1,"[25, 22, 18]",100.0,5.4,13.8,0.9,,,,,,U,OK,1.0743651390075684,0.0,8149.25
19,25,18,1,"[25, 22, 18]",100.0,5.4,13.8,0.9,,,,,,U,OK,1.0748279094696045,4.5,8149.3125
20,25,20,1,"[25, 22, 18, 16, 20]",200.0,10.8,13.8,1.8,,,,,,U,OK,1.0822153091430664,3.6,8164.09375
21,30,4,1,"[30, 20, 16, 18, 15, 14, 10, 8, 4]",800.0,42.8,3.8,5.6,,,,,,U,OK,1.1113710403442383,4.7,8165.546875
22,30,29,1,"[30, 29]",50.0,2.7,13.8,0.4,,,,,,U,OK,1.0714151859283447,20.5,8195.578125
