Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,retardo e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,retardo e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
1,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0065829753875732,0.0,8287.640625
2,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0087511539459229,11.8,8247.5
3,8,7,1,"[8, 6, 7]",220.0,11.6,1.0,1.5,,,,,,U,OK,1.0087180137634277,3.6,8262.078125
4,9,3,1,"[9, 7, 5, 2, 1, 3]",350.0,18.9,13.6,2.8,,,,,,U,OK,1.0049619674682617,8.8,8256.640625
5,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,1.0088651180267334,0.0,8179.28125
6,12,7,1,"[12, 13, 11, 9, 7]",250.0,13.5,13.6,2.1,,,,,,U,OK,1.0105977058410645,3.7,8183.0
7,13,10,1,"[13, 11, 9, 10]",250.0,13.3,1.0,1.8,,,,,,U,OK,1.0075130462646484,11.4,8186.0
8,14,13,1,"[14, 12, 13]",200.0,10.6,1.0,1.4,,,,,,U,OK,1.0085580348968506,24.4,8223.578125
9,19,12,1,"[19, 13, 12]",250.0,13.3,3.8,1.6,,,,,,U,OK,1.0086140632629395,14.0,8286.09375
10,21,16,1,"[21, 17, 13, 12, 14, 15, 18, 16]",450.0,24.1,1.0,3.6,,,,,,U,OK,1.0094609260559082,3.6,8199.90625
11,22,8,1,"[22, 18, 15, 14, 10, 8]",350.0,18.9,13.6,2.8,,,,,,U,OK,1.0096120834350586,8.1,8143.21875
12,22,13,1,"[22, 18, 15, 14, 12, 13]",350.0,18.7,1.0,2.8,,,,,,U,OK,1.0131289958953857,13.6,8200.03125
13,23,4,1,"[23, 26, 24, 21, 17, 13, 12, 14, 10, 8, 4]",950.0,50.7,1.0,6.8,,,,,,U,OK,1.0037529468536377,-89.0,8196.671875
14,23,8,1,"[23, 19, 13, 11, 9, 7, 6, 8]",670.0,35.7,1.0,4.8,,,,,,U,OK,1.0077240467071533,3.7,8219.53125
15,23,18,1,"[23, 25, 22, 18]",150.0,8.1,13.8,1.4,,,,,,U,OK,1.0073232650756836,8.4,8222.359375
16,24,13,1,"[24, 21, 17, 13]",150.0,8.1,13.8,1.4,,,,,,U,OK,1.0108168125152588,5.1,8212.234375
17,25,14,1,"[25, 22, 18, 15, 14]",200.0,10.8,13.8,1.8,,,,,,U,OK,1.0090570449829102,11.0,8208.328125
18,25,18,1,"[25, 22, 18]",100.0,5.4,13.8,0.9,,,,,,U,OK,1.0108718872070312,-87.7,8189.3125
19,25,18,1,"[25, 22, 18]",100.0,5.4,13.8,0.9,,,,,,U,OK,1.0066280364990234,12.3,8164.640625
20,25,20,1,"[25, 22, 18, 16, 20]",200.0,10.8,13.8,1.8,,,,,,U,OK,1.005659818649292,15.1,8176.015625
21,30,4,1,"[30, 29, 28, 27, 25, 23, 19, 13, 11, 9, 7, 5, 2, 1, 3, 4]",1150.0,61.7,3.8,8.8,,,,,,U,OK,1.0036709308624268,9.5,8187.359375
22,30,29,1,"[30, 29]",50.0,2.7,13.8,0.4,,,,,,U,OK,1.0077009201049805,13.3,8176.421875
