ROADM1,ROADM2,Num Canales Primarios,Num Canales Secundarios,Total Canales,Num Max CH DWDM,%
8,3,2,0,2,96,2.083333333333333
8,4,0,2,2,96,2.083333333333333
4,3,0,2,2,96,2.083333333333333
10,9,1,1,2,96,2.083333333333333
10,8,1,2,3,96,3.125
8,6,0,2,2,96,2.083333333333333
6,7,0,2,2,96,2.083333333333333
7,9,0,1,1,96,1.0416666666666665
12,13,2,1,3,96,3.125
13,11,1,1,2,96,2.083333333333333
11,9,1,1,2,96,2.083333333333333
9,7,1,1,2,96,2.083333333333333
12,14,0,2,2,96,2.083333333333333
14,10,1,2,3,96,3.125
14,12,1,1,2,96,2.083333333333333
9,11,0,1,1,96,1.0416666666666665
11,13,0,1,1,96,1.0416666666666665
22,18,4,1,5,96,5.208333333333334
18,15,2,1,3,96,3.125
15,14,2,1,3,96,3.125
22,25,0,1,1,96,1.0416666666666665
25,23,1,2,3,96,3.125
23,19,1,2,3,96,3.125
19,13,1,2,3,96,3.125
7,6,0,1,1,96,1.0416666666666665
6,8,0,1,1,96,1.0416666666666665
25,22,3,1,4,96,4.166666666666666
13,12,0,1,1,96,1.0416666666666665
25,27,0,2,2,96,2.083333333333333
27,28,0,2,2,96,2.083333333333333
28,29,0,2,2,96,2.083333333333333
29,30,0,2,2,96,2.083333333333333
30,20,0,2,2,96,2.083333333333333
20,16,0,2,2,96,2.083333333333333
16,18,0,2,2,96,2.083333333333333
